patch,seconds,max_rss_kb,pixel_accuracy
00000,2.44,35352,0.848800659180
00001,2.37,35328,0.922882080078
00002,2.42,35412,0.800888061523
00003,2.43,35088,0.676849365234
00004,2.27,35256,1.000000000000
00005,2.38,35300,0.642196655273
00006,2.49,35388,0.994049072266
00007,2.41,35236,0.875976562500
00008,2.45,35352,0.800064086914
00009,2.28,35472,0.904998779297
00010,2.19,35220,0.896713256836
00011,2.37,35224,0.852951049805
00012,2.41,35256,0.892074584961
00013,2.33,35260,1.000000000000
00014,2.38,35308,0.976776123047
00015,2.35,35392,0.995941162109
00016,2.44,35308,0.926910400391
00017,2.45,35460,0.859695434570
00018,2.46,35516,0.674865722656
00019,2.39,35404,0.999938964844
00020,2.40,35316,0.387268066406
00021,2.46,35336,0.708709716797
00022,2.53,35488,0.985061645508
00023,2.48,35268,0.888549804688
00024,2.50,35392,1.000000000000
