patch,seconds,max_rss_kb,pixel_accuracy
00000,1.89,34988,0.847396850586
00001,1.86,35264,0.627777099609
00002,1.89,34860,0.606567382812
00003,1.93,35020,0.251419067383
00004,1.94,35056,0.969360351562
00005,1.90,34824,0.304580688477
00006,1.87,34840,0.939636230469
00007,1.89,34792,0.009170532227
00008,1.87,35052,0.206909179688
00009,1.86,34816,0.559661865234
00010,1.89,34912,0.724624633789
00011,1.86,34860,0.579223632812
00012,1.94,35048,0.209899902344
00013,1.90,35164,0.927627563477
00014,1.97,34928,0.928207397461
00015,1.93,34996,0.930206298828
00016,1.95,34960,0.646545410156
00017,1.89,34804,0.929229736328
00018,1.90,34996,0.544586181641
00019,1.89,34920,0.974029541016
00020,1.90,34744,0.731231689453
00021,1.85,34816,0.503860473633
00022,1.92,34912,0.889663696289
00023,1.89,34876,0.545959472656
00024,1.84,34880,0.933700561523
