patch,seconds,max_rss_kb,pixel_accuracy
00000,1.98,35004,0.900222778320
00001,1.93,34936,0.774932861328
00002,1.99,34900,0.682525634766
00003,1.99,34984,0.394393920898
00004,2.00,34796,0.996063232422
00005,1.95,34924,0.548202514648
00006,1.99,34924,0.980270385742
00007,1.93,34956,0.318725585938
00008,1.99,35016,0.500976562500
00009,2.00,35024,0.727050781250
00010,1.90,34808,0.772933959961
00011,2.02,34912,0.755554199219
00012,1.96,34900,0.549880981445
00013,1.96,35028,0.974990844727
00014,1.96,34964,0.998367309570
00015,1.92,34928,1.000000000000
00016,1.96,35192,0.762054443359
00017,2.00,35084,0.999908447266
00018,2.00,35092,0.668151855469
00019,2.01,34912,0.977203369141
00020,1.91,34876,0.785171508789
00021,2.03,34688,0.638320922852
00022,2.00,34968,0.969757080078
00023,1.95,34812,0.723907470703
00024,1.91,35092,0.998336791992
