version,soft_teacher,hard_teacher,ground_truth,learning_rate,planned_epochs,best_mismatch_epoch,mismatch_vs_fp32,agreement_vs_fp32,pixel_accuracy,mean_iou,clear_iou,thick_cloud_iou,thin_cloud_iou,cloud_shadow_iou,best_iou_epoch,best_mean_iou,result_file,log_file
v28,0.65,0.3,0.05,5e-8,6,6,0.16898582458496095,0.8310141754150391,0.7909745025634766,0.6137321914614478,0.7338607690901774,0.7425143968786845,0.3613024443527723,0.6172511555241567,1,0.615512293847065,C:\Users\User\cloudsen12_pure_c\qat\results\exploration_v10_v29\qat_int8_v28_training.json,C:\Users\User\cloudsen12_pure_c\qat\logs\exploration_v10_v29\qat_int8_v28.log
v16,0.55,0.4,0.05,2e-8,8,6,0.1694396209716797,0.8305603790283203,0.7966987609863281,0.620517118798254,0.7433013942670089,0.74277370478212,0.3607207764018571,0.6352725997420298,6,0.620517118798254,C:\Users\User\cloudsen12_pure_c\qat\results\exploration_v10_v29\qat_int8_v16_training.json,C:\Users\User\cloudsen12_pure_c\qat\logs\exploration_v10_v29\qat_int8_v16.log
v20,0.75,0.2,0.05,2e-8,8,7,0.17020034790039062,0.8297996520996094,0.7945515441894532,0.6176992340966443,0.7387994528118258,0.7440041651977826,0.36069448666920384,0.6272988317077648,7,0.6176992340966443,C:\Users\User\cloudsen12_pure_c\qat\results\exploration_v10_v29\qat_int8_v20_training.json,C:\Users\User\cloudsen12_pure_c\qat\logs\exploration_v10_v29\qat_int8_v20.log
v24,0.7,0.25,0.05,3e-8,8,3,0.17049552917480468,0.8295044708251953,0.7952947998046875,0.6195466443308477,0.7390915778281292,0.7473768702479766,0.3593676373056615,0.6323504919416234,3,0.6195466443308477,C:\Users\User\cloudsen12_pure_c\qat\results\exploration_v10_v29\qat_int8_v24_training.json,C:\Users\User\cloudsen12_pure_c\qat\logs\exploration_v10_v29\qat_int8_v24.log
v10,0.6,0.35,0.05,5e-9,10,7,0.17074836730957033,0.8292516326904297,0.7953025817871093,0.6180761163442753,0.7395359769260008,0.7469623469226871,0.35913750794935057,0.6266686335790624,1,0.6201471906334787,C:\Users\User\cloudsen12_pure_c\qat\results\exploration_v10_v29\qat_int8_v10_training.json,C:\Users\User\cloudsen12_pure_c\qat\logs\exploration_v10_v29\qat_int8_v10.log
v12,0.7,0.25,0.05,5e-9,10,7,0.17092521667480468,0.8290747833251954,0.7949774932861328,0.6180556409462858,0.7391828239229289,0.7468228141880566,0.3590870353497704,0.6271298903243875,1,0.6201706604934645,C:\Users\User\cloudsen12_pure_c\qat\results\exploration_v10_v29\qat_int8_v12_training.json,C:\Users\User\cloudsen12_pure_c\qat\logs\exploration_v10_v29\qat_int8_v12.log
v11,0.65,0.3,0.05,5e-9,10,7,0.17131935119628905,0.828680648803711,0.7947077178955078,0.6175729337001853,0.7389464078839365,0.7463903165983008,0.35912161303734125,0.6258333972811627,1,0.6201529733375867,C:\Users\User\cloudsen12_pure_c\qat\results\exploration_v10_v29\qat_int8_v11_training.json,C:\Users\User\cloudsen12_pure_c\qat\logs\exploration_v10_v29\qat_int8_v11.log
v15,0.75,0.2,0.05,1e-8,10,2,0.1713201904296875,0.8286798095703125,0.7953339385986328,0.6185846096730464,0.739728250090827,0.7467806000060816,0.36189471743339174,0.6259348711618852,2,0.6185846096730464,C:\Users\User\cloudsen12_pure_c\qat\results\exploration_v10_v29\qat_int8_v15_training.json,C:\Users\User\cloudsen12_pure_c\qat\logs\exploration_v10_v29\qat_int8_v15.log
v27,0.6,0.35,0.05,5e-8,6,1,0.17139907836914062,0.8286009216308594,0.7967283630371094,0.6199960012667644,0.7419332966652672,0.7468061735850959,0.3586710390583271,0.6325734957583671,1,0.6199960012667644,C:\Users\User\cloudsen12_pure_c\qat\results\exploration_v10_v29\qat_int8_v27_training.json,C:\Users\User\cloudsen12_pure_c\qat\logs\exploration_v10_v29\qat_int8_v27.log
v14,0.7,0.25,0.05,1e-8,10,8,0.1715691375732422,0.8284308624267578,0.7947838592529297,0.6166521710135813,0.7405236839157135,0.7436791423488959,0.3612866954916835,0.6211191622980323,2,0.618271204452658,C:\Users\User\cloudsen12_pure_c\qat\results\exploration_v10_v29\qat_int8_v14_training.json,C:\Users\User\cloudsen12_pure_c\qat\logs\exploration_v10_v29\qat_int8_v14.log
